data,expectativa_selic_1y
2001-11-06,18.0
2001-11-07,17.0
2001-11-08,16.0
2001-11-09,16.0
2001-11-12,16.0
2001-11-13,16.0
2001-11-14,16.0
2001-11-16,16.0
2001-11-19,16.0
2001-11-20,16.0
2001-11-21,16.0
2001-11-22,16.0
2001-11-23,16.0
2001-11-26,16.0
2001-11-27,16.0
2001-11-28,16.0
2001-11-29,16.0
2001-11-30,16.0
2001-12-03,16.0
2001-12-04,16.0
2001-12-05,16.0
2001-12-06,16.0
2001-12-07,16.0
2001-12-10,16.0
2001-12-11,16.0
2001-12-12,16.0
2001-12-13,16.0
2001-12-14,17.0
2001-12-17,17.0
2001-12-18,17.0
2001-12-19,17.0
2001-12-20,17.0
2001-12-21,17.0
2001-12-24,17.0
2001-12-26,17.0
2001-12-27,17.0
2001-12-28,17.07
2001-12-31,17.07
2002-01-02,15.75
2002-01-03,15.75
2002-01-04,15.75
2002-01-07,15.75
2002-01-08,15.75
2002-01-09,15.75
2002-01-10,15.75
2002-01-11,15.75
2002-01-14,15.75
2002-01-15,15.75
2002-01-16,15.75
2002-01-17,15.75
2002-01-18,15.75
2002-01-21,14.55
2002-01-22,14.55
2002-01-23,14.55
2002-01-24,14.55
2002-01-25,14.55
2002-01-28,14.55
2002-01-29,14.55
2002-01-30,14.55
2002-01-31,14.55
2002-02-01,14.55
2002-02-04,14.55
2002-02-05,14.55
2002-02-06,14.55
2002-02-07,14.55
2002-02-08,14.55
2002-02-11,14.55
2002-02-13,14.55
2002-02-14,14.55
2002-02-15,14.55
2002-02-18,14.55
2002-02-19,14.55
2002-02-20,14.55
2002-02-21,14.55
2002-02-22,15.0
2002-02-25,15.0
2002-02-26,15.0
2002-02-27,15.0
2002-02-28,15.0
2002-03-01,15.0
2002-03-04,15.0
2002-03-05,15.0
2002-03-06,15.0
2002-03-07,15.0
2002-03-08,15.0
2002-03-11,15.0
2002-03-12,15.0
2002-03-13,15.0
2002-03-14,15.0
2002-03-15,14.0
2002-03-18,14.7
2002-03-19,14.0
2002-03-20,14.0
2002-03-21,14.0
2002-03-22,14.0
2002-03-25,14.5
2002-03-26,14.5
2002-03-27,14.5
2002-03-28,14.5
2002-04-01,14.5
2002-04-02,14.5
2002-04-03,14.5
2002-04-04,14.5
2002-04-05,14.5
2002-04-08,14.5
2002-04-09,14.5
2002-04-10,14.5
2002-04-11,14.5
2002-04-12,14.5
2002-04-15,14.7
2002-04-16,14.7
2002-04-17,14.7
2002-04-18,14.7
2002-04-19,14.6
2002-04-22,14.6
2002-04-23,14.7
2002-04-24,14.7
2002-04-25,14.7
2002-04-26,14.7
2002-04-29,14.7
2002-04-30,14.7
2002-05-02,14.7
2002-05-03,14.7
2002-05-06,14.7
2002-05-07,14.7
2002-05-08,14.7
2002-05-09,14.7
2002-05-10,14.7
2002-05-13,14.7
2002-05-14,14.7
2002-05-15,14.7
2002-05-16,14.75
2002-05-17,14.75
2002-05-20,14.75
2002-05-21,14.75
2002-05-22,14.75
2002-05-23,14.75
2002-05-24,14.0
2002-05-27,14.0
2002-05-28,14.0
2002-05-29,14.0
2002-05-31,14.0
2002-06-03,14.0
2002-06-04,14.0
2002-06-05,14.0
2002-06-06,14.0
2002-06-07,14.0
2002-06-10,14.0
2002-06-11,14.0
2002-06-12,14.0
2002-06-13,14.0
2002-06-14,14.0
2002-06-17,14.75
2002-06-18,14.75
2002-06-19,14.75
2002-06-20,14.75
2002-06-21,14.75
2002-06-24,14.75
2002-06-25,14.75
2002-06-26,14.5
2002-06-27,14.5
2002-06-28,14.5
2002-07-01,14.5
2002-07-02,14.5
2002-07-03,14.5
2002-07-04,14.5
2002-07-05,15.0
2002-07-08,15.0
2002-07-09,15.0
2002-07-10,15.0
2002-07-11,15.0
2002-07-12,15.0
2002-07-15,15.0
2002-07-16,15.0
2002-07-17,15.0
2002-07-18,15.0
2002-07-19,15.0
2002-07-22,15.0
2002-07-23,15.0
2002-07-24,15.0
2002-07-25,15.0
2002-07-26,15.0
2002-07-29,15.0
2002-07-30,15.0
2002-07-31,15.0
2002-08-01,15.0
2002-08-02,15.0
2002-08-05,15.0
2002-08-06,15.0
2002-08-07,15.0
2002-08-08,15.0
2002-08-09,15.0
2002-08-12,15.5
2002-08-13,15.5
2002-08-14,15.5
2002-08-15,15.5
2002-08-16,15.5
2002-08-19,15.25
2002-08-20,15.25
2002-08-21,15.0
2002-08-22,15.0
2002-08-23,15.0
2002-08-26,15.0
2002-08-27,15.0
2002-08-28,15.0
2002-08-29,15.0
2002-09-02,15.0
2002-09-03,15.0
2002-09-04,15.0
2002-09-05,15.0
2002-09-06,15.0
2002-09-09,15.0
2002-09-10,15.0
2002-09-11,15.0
2002-09-12,15.0
2002-09-13,15.0
2002-09-16,15.0
2002-09-17,15.0
2002-09-18,15.0
2002-09-19,15.0
2002-09-20,15.0
2002-09-23,15.0
2002-09-24,15.0
2002-09-25,15.0
2002-09-26,15.0
2002-09-27,15.0
2002-09-30,15.0
2002-10-01,15.0
2002-10-02,15.0
2002-10-03,15.0
2002-10-04,15.0
2002-10-07,15.0
2002-10-08,15.0
2002-10-09,15.0
2002-10-10,15.0
2002-10-11,15.5
2002-10-14,15.5
2002-10-15,16.0
2002-10-16,16.0
2002-10-17,19.0
2002-10-18,19.0
2002-10-21,19.0
2002-10-22,19.0
2002-10-23,19.0
2002-10-24,19.0
2002-10-25,19.0
2002-10-28,19.0
2002-10-29,19.0
2002-10-30,19.0
2002-10-31,19.0
2002-11-01,19.0
2002-11-04,19.0
2002-11-05,18.0
2002-11-06,18.0
2002-11-07,18.0
2002-11-08,18.0
2002-11-11,18.0
2002-11-12,18.0
2002-11-13,18.0
2002-11-14,18.14
2002-11-18,18.14
2002-11-19,18.14
2002-11-20,18.14
2002-11-21,18.14
2002-11-22,18.0
2002-11-25,18.0
2002-11-26,18.0
2002-11-27,18.0
2002-11-28,18.0
2002-11-29,18.27
2002-12-02,18.27
2002-12-03,18.27
2002-12-04,19.0
2002-12-05,20.0
2002-12-06,20.0
2002-12-09,20.0
2002-12-10,20.0
2002-12-11,20.0
2002-12-12,20.0
2002-12-13,21.0
2002-12-16,21.0
2002-12-17,21.0
2002-12-18,21.0
2002-12-19,21.0
2002-12-20,21.0
2002-12-23,21.0
2002-12-24,21.0
2002-12-26,21.0
2002-12-27,21.0
2002-12-30,21.0
2002-12-31,21.0
2003-01-02,17.0
2003-01-03,17.0
2003-01-06,17.0
2003-01-07,17.0
2003-01-08,17.0
2003-01-09,17.0
2003-01-10,17.0
2003-01-13,17.0
2003-01-14,17.0
2003-01-15,17.0
2003-01-16,16.75
2003-01-17,16.5
2003-01-20,16.5
2003-01-21,16.5
2003-01-22,16.5
2003-01-23,17.0
2003-01-24,17.0
2003-01-27,17.0
2003-01-28,17.25
2003-01-29,17.25
2003-01-30,17.25
2003-01-31,17.25
2003-02-03,17.5
2003-02-04,17.5
2003-02-05,17.5
2003-02-06,17.5
2003-02-07,17.5
2003-02-10,17.5
2003-02-11,17.5
2003-02-12,17.5
2003-02-13,17.5
2003-02-14,17.5
2003-02-17,17.5
2003-02-18,17.5
2003-02-19,17.5
2003-02-20,17.5
2003-02-21,17.5
2003-02-24,17.5
2003-02-25,17.5
2003-02-26,17.5
2003-02-27,17.5
2003-02-28,17.5
2003-03-05,17.5
2003-03-06,17.5
2003-03-07,17.5
2003-03-10,17.5
2003-03-11,17.5
2003-03-12,17.5
2003-03-13,17.5
2003-03-14,17.5
2003-03-17,17.5
2003-03-18,17.5
2003-03-19,17.5
2003-03-20,17.5
2003-03-21,17.5
2003-03-24,17.5
2003-03-25,17.5
2003-03-26,17.5
2003-03-27,17.5
2003-03-28,17.5
2003-03-31,17.5
2003-04-01,17.5
2003-04-02,17.5
2003-04-03,17.5
2003-04-04,17.5
2003-04-07,17.5
2003-04-08,17.5
2003-04-09,17.5
2003-04-10,18.0
2003-04-11,18.0
2003-04-14,18.0
2003-04-15,18.0
2003-04-16,18.0
2003-04-17,18.0
2003-04-22,18.0
2003-04-23,17.75
2003-04-24,17.75
2003-04-25,17.75
2003-04-28,17.75
2003-04-29,17.75
2003-04-30,17.75
2003-05-02,17.75
2003-05-05,17.75
2003-05-06,17.75
2003-05-07,17.75
2003-05-08,17.75
2003-05-09,17.75
2003-05-12,17.75
2003-05-13,17.75
2003-05-14,17.5
2003-05-15,17.5
2003-05-16,17.5
2003-05-19,17.5
2003-05-20,17.5
2003-05-21,17.5
2003-05-22,17.5
2003-05-23,17.5
2003-05-26,17.5
2003-05-27,17.5
2003-05-28,17.5
2003-05-29,17.5
2003-05-30,17.0
2003-06-02,17.0
