data,risco_brasil
2001-01-01,
2001-01-02,762.0
2001-01-03,738.0
2001-01-04,737.0
2001-01-05,740.0
2001-01-06,
2001-01-07,
2001-01-08,751.0
2001-01-09,750.0
2001-01-10,748.0
2001-01-11,739.0
2001-01-12,728.0
2001-01-13,
2001-01-14,
2001-01-15,723.0
2001-01-16,732.0
2001-01-17,729.0
2001-01-18,726.0
2001-01-19,717.0
2001-01-20,
2001-01-21,
2001-01-22,708.0
2001-01-23,697.0
2001-01-24,694.0
2001-01-25,699.0
2001-01-26,683.0
2001-01-27,
2001-01-28,
2001-01-29,668.0
2001-01-30,680.0
2001-01-31,677.0
2001-02-01,687.0
2001-02-02,687.0
2001-02-03,
2001-02-04,
2001-02-05,702.0
2001-02-06,693.0
2001-02-07,700.0
2001-02-08,689.0
2001-02-09,696.0
2001-02-10,
2001-02-11,
2001-02-12,694.0
2001-02-13,693.0
2001-02-14,689.0
2001-02-15,680.0
2001-02-16,692.0
2001-02-17,
2001-02-18,
2001-02-19,698.0
2001-02-20,715.0
2001-02-21,735.0
2001-02-22,728.0
2001-02-23,731.0
2001-02-24,
2001-02-25,
2001-02-26,728.0
2001-02-27,745.0
2001-02-28,753.0
2001-03-01,742.0
2001-03-02,729.0
2001-03-03,
2001-03-04,
2001-03-05,718.0
2001-03-06,714.0
2001-03-07,713.0
2001-03-08,721.0
2001-03-09,711.0
2001-03-10,
2001-03-11,
2001-03-12,728.0
2001-03-13,734.0
2001-03-14,744.0
2001-03-15,758.0
2001-03-16,775.0
2001-03-17,
2001-03-18,
2001-03-19,797.0
2001-03-20,790.0
2001-03-21,785.0
2001-03-22,831.0
2001-03-23,853.0
2001-03-24,
2001-03-25,
2001-03-26,810.0
2001-03-27,788.0
2001-03-28,788.0
2001-03-29,808.0
2001-03-30,814.0
2001-03-31,
2001-04-01,
2001-04-02,810.0
2001-04-03,813.0
2001-04-04,807.0
2001-04-05,793.0
2001-04-06,792.0
2001-04-07,
2001-04-08,
2001-04-09,774.0
2001-04-10,764.0
2001-04-11,761.0
2001-04-12,761.0
2001-04-13,
2001-04-14,
2001-04-15,
2001-04-16,786.0
2001-04-17,784.0
2001-04-18,780.0
2001-04-19,800.0
2001-04-20,839.0
2001-04-21,
2001-04-22,
2001-04-23,898.0
2001-04-24,880.0
2001-04-25,864.0
2001-04-26,853.0
2001-04-27,810.0
2001-04-28,
2001-04-29,
2001-04-30,821.0
2001-05-01,823.0
2001-05-02,837.0
2001-05-03,824.0
2001-05-04,812.0
2001-05-05,
2001-05-06,
2001-05-07,812.0
2001-05-08,819.0
2001-05-09,833.0
2001-05-10,827.0
2001-05-11,836.0
2001-05-12,
2001-05-13,
2001-05-14,859.0
2001-05-15,856.0
2001-05-16,830.0
2001-05-17,827.0
