Ticker,Setor
UNIP3.SA,Basic Materials
MDIA3.SA,Consumer Defensive
AFLT3.SA,Utilities
BALM3.SA,Healthcare
MSFT34.SA,Technology
CTSA4.SA,Consumer Cyclical
BMYB34.SA,Healthcare
KMBB34.SA,Consumer Defensive
BGIP4.SA,Financial Services
DTCY3.SA,Communication Services
COCA34.SA,Consumer Defensive
IBMB34.SA,Technology
SOND5.SA,Industrials
BLAK34.SA,Financial Services
FCXO34.SA,Basic Materials
BAUH4.SA,Consumer Defensive
UGPA3.SA,Energy
SMTO3.SA,Basic Materials
FRAS3.SA,Consumer Cyclical
OIBR4.SA,Communication Services
ITLC34.SA,Technology
TOTS3.SA,Technology
GILD34.SA,Healthcare
ENGI4.SA,Utilities
CVSH34.SA,Healthcare
TPIS3.SA,Industrials
VISA34.SA,Financial Services
AMZO34.SA,Consumer Cyclical
RADL3.SA,Healthcare
RCSL3.SA,Industrials
HSHY34.SA,Consumer Defensive
LEVE3.SA,Consumer Cyclical
HBTS5.SA,Real Estate
PEAB3.SA,Financial Services
CSMG3.SA,Utilities
SANB4.SA,Financial Services
BGIP3.SA,Financial Services
AXPB34.SA,Financial Services
AALL34.SA,Industrials
WEGE3.SA,Industrials
TEKA4.SA,Consumer Cyclical
ITUB4.SA,Financial Services
DOHL4.SA,Consumer Cyclical
HGPO11.SA,Real Estate
KLBN3.SA,Basic Materials
WHRL4.SA,Consumer Cyclical
LREN3.SA,Consumer Cyclical
GOAU4.SA,Basic Materials
MRCK34.SA,Healthcare
RCSL4.SA,Industrials
RSUL4.SA,Consumer Cyclical
XRXB34.SA,Industrials
BPAC5.SA,Financial Services
SEER3.SA,Consumer Defensive
BPAC11.SA,Financial Services
SNSY5.SA,Consumer Cyclical
BOEI34.SA,Industrials
CTKA4.SA,Consumer Cyclical
BRSR6.SA,Financial Services
TEND3.SA,Real Estate
CEEB5.SA,Utilities
SANB11.SA,Financial Services
CHVX34.SA,Energy
RPMG3.SA,Energy
AMAR3.SA,Consumer Cyclical
MGEL4.SA,Basic Materials
ALUP11.SA,Utilities
WALM34.SA,Consumer Defensive
VLOE34.SA,Energy
CLSC4.SA,Utilities
BDLL4.SA,Industrials
BPAC3.SA,Financial Services
VIVR3.SA,Real Estate
FHER3.SA,Basic Materials
FDMO34.SA,Consumer Cyclical
CMIG3.SA,Utilities
ABBV34.SA,Healthcare
VULC3.SA,Consumer Cyclical
MWET4.SA,Consumer Cyclical
INEP3.SA,Industrials
BONY34.SA,Financial Services
RNEW4.SA,Utilities
EZTC3.SA,Real Estate
POMO3.SA,Industrials
CEDO4.SA,Consumer Cyclical
CSAN3.SA,Energy
PFRM3.SA,Healthcare
METB34.SA,Financial Services
USBC34.SA,Financial Services
CEED3.SA,Utilities
PETR4.SA,Energy
ITSA4.SA,Industrials
SAPR11.SA,Utilities
EUCA4.SA,Industrials
HOME34.SA,Consumer Cyclical
TASA4.SA,Industrials
VERE11.SA,Real Estate
ENGI11.SA,Utilities
WLMM3.SA,Consumer Cyclical
RAIL3.SA,Industrials
GRND3.SA,Consumer Cyclical
POSI3.SA,Technology
INEP4.SA,Industrials
UCAS3.SA,Consumer Cyclical
ACNB34.SA,Technology
BNBR3.SA,Financial Services
CGAS5.SA,Utilities
SAPR4.SA,Utilities
MDTC34.SA,Healthcare
LILY34.SA,Healthcare
CEBR3.SA,Utilities
NVHO11.SA,Real Estate
HPQB34.SA,Technology
LUXM4.SA,Industrials
BEES4.SA,Financial Services
GOGL35.SA,Communication Services
PGCO34.SA,Consumer Defensive
EALT3.SA,Industrials
ALUP4.SA,Utilities
SCAR3.SA,Real Estate
PINE4.SA,Financial Services
ENEV3.SA,Utilities
CTNM4.SA,Consumer Cyclical
ENGI3.SA,Utilities
AMGN34.SA,Healthcare
PLAS3.SA,Consumer Cyclical
TAEE4.SA,Utilities
TAEE11.SA,Utilities
GGBR3.SA,Basic Materials
MNPR3.SA,Consumer Defensive
VIVA3.SA,Consumer Cyclical
PPLA11.SA,Financial Services
OIBR3.SA,Communication Services
AGRO3.SA,Consumer Defensive
KLBN4.SA,Basic Materials
HBOR3.SA,Real Estate
RNEW3.SA,Utilities
EXXO34.SA,Energy
TGTB34.SA,Consumer Defensive
CVCB3.SA,Consumer Cyclical
PEPB34.SA,Consumer Defensive
NATU3.SA,Consumer Defensive
TELB3.SA,Communication Services
CATP34.SA,Industrials
DASA3.SA,Healthcare
USIM6.SA,Basic Materials
EMAE4.SA,Utilities
SOND6.SA,Industrials
TSNC11.SA,Financial Services
MOVI3.SA,Industrials
BRKM5.SA,Basic Materials
SAPR3.SA,Utilities
HONB34.SA,Industrials
RPAD5.SA,Industrials
CEDO3.SA,Consumer Cyclical
SHOP11.SA,Real Estate
BMEB4.SA,Financial Services
TGMA3.SA,Industrials
MGLU3.SA,Consumer Cyclical
SBSP3.SA,Utilities
TEXA34.SA,Technology
FDXB34.SA,Industrials
MMMC34.SA,Industrials
AZEV3.SA,Industrials
REDE3.SA,Utilities
PDGR3.SA,Real Estate
RAPT3.SA,Industrials
GPAR3.SA,Utilities
NFLX34.SA,Communication Services
ROMI3.SA,Industrials
BRSR5.SA,Financial Services
PRIO3.SA,Energy
KEPL3.SA,Industrials
GEOO34.SA,Industrials
CEAB3.SA,Consumer Cyclical
BMIN4.SA,Financial Services
MAPT3.SA,Financial Services
DDNB34.SA,Basic Materials
RENT3.SA,Industrials
MSBR34.SA,Financial Services
ABCB4.SA,Financial Services
BMIN3.SA,Financial Services
ARMT34.SA,Basic Materials
GMCO34.SA,Consumer Cyclical
PSSA3.SA,Financial Services
SLCE3.SA,Consumer Defensive
RSPD11.SA,Real Estate
PATI4.SA,Basic Materials
ABEV3.SA,Consumer Defensive
YDUQ3.SA,Consumer Defensive
BMKS3.SA,Consumer Cyclical
ABTT34.SA,Healthcare
FSTU11.SA,
BEES3.SA,Financial Services
CSCO34.SA,Technology
VERZ34.SA,Communication Services
HUSC11.SA,Real Estate
ENMT3.SA,Utilities
HETA4.SA,Consumer Defensive
BIIB34.SA,Healthcare
RIGG34.SA,Energy
BMEB3.SA,Financial Services
ETER3.SA,Industrials
MYPK3.SA,Consumer Cyclical
UBSG34.SA,Financial Services
COPH34.SA,Energy
DIRR3.SA,Real Estate
WFCO34.SA,Financial Services
HAGA3.SA,Industrials
TRIS3.SA,Real Estate
FMXB34.SA,Consumer Defensive
B3SA3.SA,Financial Services
JSLG3.SA,Industrials
LMTB34.SA,Industrials
TXRX4.SA,Consumer Cyclical
BBYY34.SA,Consumer Cyclical
FSRF11.SA,
CBEE3.SA,Utilities
COWC34.SA,Consumer Defensive
EGIE3.SA,Utilities
CYRE3.SA,Consumer Cyclical
IRBR3.SA,Financial Services
UPAC34.SA,Industrials
HAGA4.SA,Industrials
QCOM34.SA,Technology
FSLR34.SA,Technology
BRAP3.SA,Financial Services
BEEF3.SA,Consumer Defensive
ARNC34.SA,Industrials
MTSA4.SA,Industrials
TRVC34.SA,Financial Services
PATI3.SA,Basic Materials
EVEN3.SA,Real Estate
AAPL34.SA,Technology
NUTR3.SA,Basic Materials
OFSA3.SA,Healthcare
ANIM3.SA,Consumer Defensive
EQTL3.SA,Utilities
FLRY3.SA,Healthcare
FISC11.SA,Real Estate
TSLA34.SA,Consumer Cyclical
SUZB3.SA,Basic Materials
KHCB34.SA,Consumer Defensive
ECOR3.SA,Industrials
BAZA3.SA,Financial Services
BALM4.SA,Healthcare
UPSS34.SA,Industrials
HRDF11.SA,Real Estate
NIKE34.SA,Consumer Cyclical
CRPG5.SA,Basic Materials
MDLZ34.SA,Consumer Defensive
BVAR11.SA,Real Estate
MRSA3B.SA,Industrials
BIOM3.SA,Healthcare
DEAI34.SA,Industrials
MILS3.SA,Industrials
FSPE11.SA,
MELI34.SA,Consumer Cyclical
BBDC4.SA,Financial Services
TECN3.SA,Consumer Cyclical
SHOW3.SA,Consumer Cyclical
CTGP34.SA,Financial Services
GFSA3.SA,Consumer Cyclical
ITSA3.SA,Industrials
VPSI11.SA,Real Estate
LOGN3.SA,Industrials
RPAD6.SA,Industrials
HOOT4.SA,Consumer Cyclical
PMAM3.SA,Basic Materials
GSGI34.SA,Financial Services
USIM5.SA,Basic Materials
CRPG6.SA,Basic Materials
LUPA3.SA,Energy
POMO4.SA,Industrials
JFEN3.SA,Real Estate
USIM3.SA,Basic Materials
TELB4.SA,Communication Services
MEAL3.SA,Consumer Cyclical
COCE5.SA,Utilities
LPSB3.SA,Real Estate
UNIP5.SA,Basic Materials
COGN3.SA,Consumer Defensive
GOGL34.SA,Communication Services
MCDC34.SA,Consumer Cyclical
ESUT11.SA,
LIGT3.SA,Utilities
DISB34.SA,Communication Services
ESUD11.SA,
RCFA11.SA,
FESA4.SA,Basic Materials
BBAS3.SA,Financial Services
HGBS11.SA,Real Estate
JNJB34.SA,Healthcare
CTSA3.SA,Consumer Cyclical
BRKM3.SA,Basic Materials
BOXP34.SA,Real Estate
BBDC3.SA,Financial Services
MSCD34.SA,Financial Services
GOAU3.SA,Basic Materials
GEPA4.SA,Utilities
KNIP11.SA,Real Estate
TAEE3.SA,Utilities
RPAD3.SA,Industrials
BMGB4.SA,Financial Services
PETR3.SA,Energy
GGBR4.SA,Basic Materials
MSPA3.SA,Basic Materials
TMOS34.SA,Healthcare
SSFO34.SA,Technology
AIGB34.SA,Financial Services
ITUB3.SA,Financial Services
GSHP3.SA,Real Estate
EALT4.SA,Industrials
MNDL3.SA,Consumer Defensive
HALI34.SA,Energy
AHEB3.SA,Consumer Cyclical
HAPV3.SA,Financial Services
CPLE3.SA,Utilities
BERK34.SA,Financial Services
ORCL34.SA,Technology
VLID3.SA,Industrials
CSNA3.SA,Basic Materials
HYPE3.SA,Healthcare
FRIO3.SA,Consumer Cyclical
DUKB34.SA,Utilities
LOGG3.SA,Real Estate
FNOR11.SA,Financial Services
KLBN11.SA,Basic Materials
JOPA3.SA,Consumer Defensive
SHUL4.SA,Consumer Cyclical
SCHW34.SA,Financial Services
SBUB34.SA,Consumer Cyclical
UNIP6.SA,Basic Materials
ALPA4.SA,Consumer Cyclical
RBRP11.SA,Financial Services
SANB3.SA,Financial Services
WUNI34.SA,Financial Services
QUAL3.SA,Healthcare
ATTB34.SA,Communication Services
MOSC34.SA,Basic Materials
RAPT4.SA,Industrials
RANI3.SA,Consumer Cyclical
VIVT3.SA,Communication Services
BOBR4.SA,Consumer Defensive
MRVE3.SA,Real Estate
COCE3.SA,Utilities
BRSR3.SA,Financial Services
AALR3.SA,Healthcare
DHER34.SA,Healthcare
ALPA3.SA,Consumer Cyclical
PTBL3.SA,Industrials
TCSA3.SA,Real Estate
BRAP4.SA,Financial Services
ALUP3.SA,Utilities
MULT3.SA,Real Estate
GPSI34.SA,Consumer Cyclical
JOPA4.SA,Consumer Defensive
WHRL3.SA,Consumer Cyclical
CMCS34.SA,Communication Services
PEAB4.SA,Financial Services
WLMM4.SA,Consumer Cyclical
TUPY3.SA,Industrials
CGAS3.SA,Utilities
CAML3.SA,Consumer Defensive
CMIG4.SA,Utilities
AZEV4.SA,Industrials
ESTR4.SA,Consumer Cyclical
JPMC34.SA,Financial Services
CPFE3.SA,Utilities
CGRA4.SA,Consumer Cyclical
SLBG34.SA,Energy
BSLI4.SA,Financial Services
CGRA3.SA,Consumer Cyclical
ABCB10.SA,
RSID3.SA,Consumer Cyclical
PNVL3.SA,Healthcare
ENMT4.SA,Utilities
COLG34.SA,Consumer Defensive
CTSH34.SA,Technology
GEPA3.SA,Utilities
TASA3.SA,Industrials
VALE3.SA,Basic Materials
ROST34.SA,Consumer Cyclical
EKTR4.SA,Utilities
JHSF3.SA,Real Estate
EBAY34.SA,Consumer Cyclical
GDBR34.SA,Industrials
CEEB3.SA,Utilities
VAMO3.SA,Industrials
ERPA11.SA,Real Estate
GPRO34.SA,Technology
PFIZ34.SA,Healthcare
OSXB3.SA,Energy
COTY34.SA,Consumer Defensive
MACY34.SA,Consumer Cyclical
FESA3.SA,Basic Materials
BBSE3.SA,Financial Services
BOAC34.SA,Financial Services
