,Data,evento,Reward_delta,Margem_exigida,Troca_Aprovada,Regime_Futuro_Provavel,Prob_Regimes,Carteira_Atual,Carteira_Pendente
0,2015-01-05,HOLDING,1.2825931200110612,0.2,True,2,[0.07523331 0.18614858 0.49943863 0.23917948],100_CDI,
1,2015-01-06,ORDEM_CRIADA,1.2614866498715704,0.0,True,2,[0.0724414  0.18683115 0.50402356 0.23670388],100_CDI,Alvo_Suavizado
2,2015-01-07,AGUARDANDO_EXECUCAO,1.3381680264860178,0.2,True,2,[0.06474966 0.16486038 0.45520877 0.31518119],100_CDI,Alvo_Suavizado
3,2015-01-08,AGUARDANDO_EXECUCAO,1.4030749558273388,0.2,True,2,[0.05838849 0.14642661 0.41415905 0.38102584],100_CDI,Alvo_Suavizado
4,2015-01-09,EXECUTOU_TROCA,1.4553785685111755,0.2,False,3,[0.05327751 0.13158862 0.38110724 0.43402664],Alvo_Suavizado,
5,2015-01-12,HOLDING,0.0,0.2,False,3,[0.04918726 0.11970413 0.35463096 0.47647765],Alvo_Suavizado,
6,2015-01-13,HOLDING,0.0,0.2,False,3,[0.04779217 0.11786812 0.35131335 0.48302636],Alvo_Suavizado,
7,2015-01-14,HOLDING,0.0,0.2,False,3,[0.04612588 0.11420134 0.34355377 0.49611901],Alvo_Suavizado,
8,2015-01-15,HOLDING,0.0,0.2,False,3,[0.04642943 0.11795582 0.35291888 0.48269588],Alvo_Suavizado,
9,2015-01-16,HOLDING,0.0,0.2,False,3,[0.04953251 0.12855967 0.37709534 0.44481249],Alvo_Suavizado,
10,2015-01-19,HOLDING,0.0,0.2,False,3,[0.15105761 0.14991394 0.32932662 0.36970183],Alvo_Suavizado,
11,2015-01-20,HOLDING,0.0,0.2,False,3,[0.20964629 0.16010734 0.296273   0.33397336],Alvo_Suavizado,
12,2015-01-21,HOLDING,0.0,0.2,False,3,[0.20093723 0.23005607 0.2836108  0.28539589],Alvo_Suavizado,
13,2015-01-22,HOLDING,0.0,0.2,False,1,[0.19397024 0.2860148  0.27348104 0.24653392],Alvo_Suavizado,
14,2015-01-23,HOLDING,0.0,0.2,False,1,[0.18839656 0.33078195 0.26537718 0.21544432],Alvo_Suavizado,
15,2015-01-26,HOLDING,0.0,0.2,False,1,[0.18393877 0.36659501 0.25889371 0.1905725 ],Alvo_Suavizado,
16,2015-01-27,HOLDING,0.0,0.2,False,1,[0.18037273 0.39524537 0.25370688 0.17067503],Alvo_Suavizado,
17,2015-01-28,HOLDING,0.0,0.2,False,1,[0.17751896 0.41816616 0.24955772 0.15475716],Alvo_Suavizado,
18,2015-01-29,HOLDING,0.0,0.2,False,1,[0.1752355  0.43650306 0.24623853 0.14202291],Alvo_Suavizado,
19,2015-01-30,HOLDING,0.0,0.2,False,1,[0.17340861 0.45117264 0.24358322 0.13183553],Alvo_Suavizado,
20,2015-02-02,HOLDING,0.0,0.2,False,1,[0.17194713 0.46290828 0.24145897 0.12368562],Alvo_Suavizado,
21,2015-02-03,HOLDING,0.0,0.2,False,1,[0.17077791 0.47229682 0.23975957 0.1171657 ],Alvo_Suavizado,
22,2015-02-04,HOLDING,0.0,0.2,False,1,[0.16984252 0.47980766 0.23840006 0.11194976],Alvo_Suavizado,
23,2015-02-05,HOLDING,0.0,0.2,False,1,[0.16909416 0.48581613 0.23731263 0.10777708],Alvo_Suavizado,
24,2015-02-06,HOLDING,0.0,0.2,False,1,[0.1684955  0.49062302 0.23644259 0.1044389 ],Alvo_Suavizado,
25,2015-02-09,HOLDING,0.0,0.2,False,1,[0.16801659 0.49446858 0.2357465  0.10176833],Alvo_Suavizado,
26,2015-02-10,HOLDING,0.0,0.2,False,1,[0.16763347 0.49754499 0.23518966 0.09963189],Alvo_Suavizado,
27,2015-02-11,ORDEM_CRIADA_REBALANCEAMENTO,0.0,0.2,False,1,[0.16732693 0.50000603 0.23474427 0.09792277],Alvo_Suavizado,Alvo_Suavizado
28,2015-02-12,AGUARDANDO_EXECUCAO,0.0,0.2,False,1,[0.16708127 0.50197359 0.23438918 0.09655596],Alvo_Suavizado,Alvo_Suavizado
29,2015-02-13,AGUARDANDO_EXECUCAO,0.0,0.2,False,1,[0.16688498 0.50354836 0.23410442 0.09546223],Alvo_Suavizado,Alvo_Suavizado
30,2015-02-18,EXECUTOU_TROCA,0.0,0.2,False,1,[0.16672781 0.50480774 0.23387703 0.09458742],Alvo_Suavizado,
31,2015-02-19,HOLDING,0.0,0.2,False,1,[0.16660074 0.5058112  0.23369897 0.09388909],Alvo_Suavizado,
32,2015-02-20,HOLDING,0.0,0.2,False,1,[0.16649961 0.50661555 0.23355501 0.09332983],Alvo_Suavizado,
33,2015-02-23,HOLDING,0.0,0.2,False,1,[0.24057546 0.45241725 0.21875137 0.08825592],Alvo_Suavizado,
34,2015-02-24,HOLDING,0.0,0.2,False,1,[0.21268522 0.40147409 0.27559909 0.1102416 ],Alvo_Suavizado,
35,2015-02-25,HOLDING,0.0,0.2,False,1,[0.18266223 0.36004851 0.32715476 0.1301345 ],Alvo_Suavizado,
36,2015-02-26,HOLDING,0.0,0.2,False,2,[0.15865866 0.32690934 0.36838762 0.14604439],Alvo_Suavizado,
37,2015-02-27,HOLDING,0.0,0.2,False,2,[0.13942663 0.30039547 0.40139689 0.15878101],Alvo_Suavizado,
38,2015-03-02,HOLDING,0.0,0.2,False,2,[0.12402731 0.27918317 0.42781511 0.16897441],Alvo_Suavizado,
39,2015-03-03,HOLDING,0.0,0.2,False,2,[0.11368626 0.26238551 0.44739034 0.17653788],Alvo_Suavizado,
40,2015-03-04,HOLDING,0.0,0.2,False,2,[0.11667771 0.24992763 0.45417209 0.17922256],Alvo_Suavizado,
41,2015-03-05,HOLDING,0.0,0.2,False,2,[0.22075429 0.24881062 0.37945279 0.1509823 ],Alvo_Suavizado,
42,2015-03-06,HOLDING,0.0,0.2,False,2,[0.302077   0.2477483  0.32120527 0.12896944],Alvo_Suavizado,
43,2015-03-09,HOLDING,0.0,0.2,False,2,[0.25791401 0.23739322 0.3606932  0.14399957],Alvo_Suavizado,
44,2015-03-10,HOLDING,0.0,0.2,False,2,[0.22044579 0.22892262 0.3939673  0.15666428],Alvo_Suavizado,
45,2015-03-11,HOLDING,0.0,0.2,False,2,[0.18884242 0.22200402 0.42186939 0.16728417],Alvo_Suavizado,
46,2015-03-12,HOLDING,0.0,0.2,False,2,[0.16021021 0.20265082 0.41198289 0.22515607],Alvo_Suavizado,
47,2015-03-13,HOLDING,0.0,0.2,False,2,[0.13989117 0.19783975 0.42894714 0.23332194],Alvo_Suavizado,
48,2015-03-16,HOLDING,0.0,0.2,False,2,[0.12118179 0.18386659 0.41892051 0.27603111],Alvo_Suavizado,
49,2015-03-17,HOLDING,0.0,0.2,False,2,[0.10926911 0.18529039 0.44027311 0.26516738],Alvo_Suavizado,
50,2015-03-18,HOLDING,0.0,0.2,False,2,[0.09563012 0.16947884 0.41784624 0.3170448 ],Alvo_Suavizado,
51,2015-03-19,HOLDING,0.0,0.2,False,2,[0.08896841 0.17436038 0.44076601 0.2959052 ],Alvo_Suavizado,
52,2015-03-20,HOLDING,0.0,0.2,False,2,[0.08366072 0.17835509 0.45931038 0.2786738 ],Alvo_Suavizado,
53,2015-03-23,ORDEM_CRIADA_REBALANCEAMENTO,0.0,0.2,False,2,[0.07941815 0.18154895 0.47413734 0.26489556],Alvo_Suavizado,Alvo_Suavizado
54,2015-03-24,AGUARDANDO_EXECUCAO,0.0,0.2,False,2,[0.07602972 0.1841054  0.48599671 0.25386816],Alvo_Suavizado,Alvo_Suavizado
55,2015-03-25,AGUARDANDO_EXECUCAO,0.0,0.2,False,2,[0.07459404 0.18625588 0.49446468 0.24468541],Alvo_Suavizado,Alvo_Suavizado
56,2015-03-26,EXECUTOU_TROCA,0.0,0.2,False,2,[0.17870335 0.19698019 0.41787404 0.20644242],Alvo_Suavizado,
57,2015-03-27,HOLDING,0.0,0.2,False,2,[0.27084287 0.20649214 0.35004219 0.1726228 ],Alvo_Suavizado,
58,2015-03-30,HOLDING,0.0,0.2,False,0,[0.33585323 0.21334572 0.3026381  0.14816296],Alvo_Suavizado,
59,2015-03-31,HOLDING,0.0,0.2,False,0,[0.33919268 0.2145347  0.30292429 0.14334833],Alvo_Suavizado,
60,2015-04-01,HOLDING,0.0,0.2,False,2,[0.28579199 0.21052708 0.3471448  0.15653614],Alvo_Suavizado,
61,2015-04-02,HOLDING,0.0,0.2,False,0,[0.34142138 0.21585913 0.30494967 0.13776982],Alvo_Suavizado,
62,2015-04-06,HOLDING,0.0,0.2,False,0,[0.40035568 0.22153897 0.2602274  0.11787795],Alvo_Suavizado,
