,Grupo Features,N_Features,Slippage (%),Regime,Limite (%),CAGR,Sharpe,Max DD,Max Duration (M),Duração Média (M)
0,Todas_Features,12,0.3%,fixa,8.0%,11.88%,1.15,-30.23%,23.1 M,0.9 M
1,Fatores_Brasil,5,0.3%,fixa,8.0%,11.00%,1.03,-32.74%,24.6 M,0.7 M
2,Fatores_Globais,5,0.3%,fixa,8.0%,11.09%,1.08,-23.84%,24.0 M,0.9 M
3,Apenas_Ibovespa,3,0.3%,fixa,8.0%,9.39%,0.88,-28.97%,54.2 M,1.1 M
4,Todas_Features,12,0.5%,fixa,8.0%,11.35%,1.10,-30.25%,23.3 M,0.9 M
5,Fatores_Brasil,5,0.5%,fixa,8.0%,10.52%,0.99,-32.77%,24.6 M,0.7 M
6,Fatores_Globais,5,0.5%,fixa,8.0%,10.46%,1.02,-23.86%,24.5 M,1.0 M
7,Apenas_Ibovespa,3,0.5%,fixa,8.0%,8.82%,0.82,-29.02%,54.2 M,1.2 M
8,Todas_Features,12,0.3%,adaptativa,8.0%,12.83%,1.09,-37.49%,24.1 M,1.0 M
9,Fatores_Brasil,5,0.3%,adaptativa,8.0%,14.88%,1.18,-39.05%,29.3 M,0.9 M
10,Fatores_Globais,5,0.3%,adaptativa,8.0%,12.76%,1.01,-37.97%,37.3 M,0.9 M
11,Apenas_Ibovespa,3,0.3%,adaptativa,8.0%,11.40%,0.99,-31.26%,24.7 M,1.0 M
12,Todas_Features,12,0.5%,adaptativa,8.0%,12.49%,1.06,-37.51%,24.5 M,1.1 M
13,Fatores_Brasil,5,0.5%,adaptativa,8.0%,14.57%,1.16,-39.05%,29.3 M,0.9 M
14,Fatores_Globais,5,0.5%,adaptativa,8.0%,11.96%,0.95,-38.12%,37.3 M,1.0 M
15,Apenas_Ibovespa,3,0.5%,adaptativa,8.0%,11.91%,1.02,-30.39%,25.5 M,1.0 M
16,Todas_Features,12,0.3%,fixa,10.0%,14.13%,1.32,-28.94%,16.2 M,0.8 M
17,Fatores_Brasil,5,0.3%,fixa,10.0%,10.44%,0.91,-33.95%,38.0 M,1.0 M
18,Fatores_Globais,5,0.3%,fixa,10.0%,11.19%,1.04,-26.69%,25.6 M,1.0 M
19,Apenas_Ibovespa,3,0.3%,fixa,10.0%,10.17%,0.97,-29.65%,52.7 M,1.1 M
20,Todas_Features,12,0.5%,fixa,10.0%,13.60%,1.27,-28.97%,16.2 M,0.8 M
21,Fatores_Brasil,5,0.5%,fixa,10.0%,9.98%,0.87,-33.97%,39.0 M,1.0 M
22,Fatores_Globais,5,0.5%,fixa,10.0%,10.58%,1.00,-26.71%,27.2 M,1.1 M
23,Apenas_Ibovespa,3,0.5%,fixa,10.0%,9.65%,0.92,-29.68%,52.9 M,1.1 M
24,Todas_Features,12,0.3%,adaptativa,10.0%,11.35%,0.87,-44.57%,51.4 M,1.4 M
25,Fatores_Brasil,5,0.3%,adaptativa,10.0%,16.21%,1.19,-39.10%,36.4 M,0.9 M
26,Fatores_Globais,5,0.3%,adaptativa,10.0%,13.03%,1.00,-38.58%,31.0 M,0.9 M
27,Apenas_Ibovespa,3,0.3%,adaptativa,10.0%,11.44%,0.98,-31.17%,47.0 M,0.9 M
28,Todas_Features,12,0.5%,adaptativa,10.0%,10.78%,0.86,-40.94%,51.4 M,1.5 M
29,Fatores_Brasil,5,0.5%,adaptativa,10.0%,15.50%,1.14,-39.11%,36.4 M,0.9 M
30,Fatores_Globais,5,0.5%,adaptativa,10.0%,12.31%,0.96,-36.23%,36.3 M,0.9 M
31,Apenas_Ibovespa,3,0.5%,adaptativa,10.0%,10.89%,0.94,-31.14%,47.0 M,1.0 M
