,Rodada_Teste,Anos_Treino_Inclusos,Politica_Regime_0,Politica_Regime_1,Politica_Regime_2,Politica_Regime_3,Composicao_Est_0,Composicao_Est_1,Composicao_Est_2,Composicao_Est_3,Exposicao_Media_Acoes,Carrego_Medio_CDI,Retorno_Teste_Modelo,Retorno_Teste_Ibov,Retorno_Teste_Bench_Hibrido,Retorno_Teste_Bench_Dinamico,Alpha_Rodada,CAGR,Volatilidade,Sharpe,Sortino,Max_Drawdown,Calmar,Mapa_Risco
0,2015-2015,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,ANIM3.SA: 10.00% | BBDC3.SA: 3.00% | BBDC4.SA: 3.00% | BHIA3.SA: 5.81% | CMIG4.SA: 3.00% | COGN3.SA: 3.00% | DIRR3.SA: 3.00% | ECOR3.SA: 3.00% | EQTL3.SA: 10.00% | EZTC3.SA: 3.00% | FRAS3.SA: 10.00% | KEPL3.SA: 3.00% | MGLU3.SA: 4.00% | RADL3.SA: 3.00% | RENT3.SA: 3.00% | SBSP3.SA: 3.00% | SMTO3.SA: 10.00% | TAEE11.SA: 10.00% | UGPA3.SA: 3.00% | YDUQ3.SA: 4.18%,ABCB4.SA: 3.00% | BBSE3.SA: 3.00% | BRKM5.SA: 3.00% | COGN3.SA: 10.00% | CPFE3.SA: 3.00% | CSNA3.SA: 3.00% | CSUD3.SA: 3.00% | CYRE3.SA: 3.00% | DIRR3.SA: 3.00% | EGIE3.SA: 10.00% | EQTL3.SA: 10.00% | EZTC3.SA: 10.00% | GGBR4.SA: 3.00% | GOAU4.SA: 3.00% | KLBN4.SA: 6.84% | MGLU3.SA: 7.79% | MRVE3.SA: 3.00% | PRIO3.SA: 6.37% | SBSP3.SA: 3.00% | UNIP6.SA: 3.00%,ABEV3.SA: 3.19% | AGRO3.SA: 10.64% | AMER3.SA: 8.51% | AZZA3.SA: 3.19% | BBDC3.SA: 3.19% | BBSE3.SA: 3.19% | COGN3.SA: 3.19% | CSMG3.SA: 3.19% | EQTL3.SA: 3.19% | ITUB4.SA: 3.19% | KEPL3.SA: 10.64% | KLBN11.SA: 3.19% | KLBN4.SA: 3.19% | MULT3.SA: 3.19% | RADL3.SA: 10.64% | TAEE11.SA: 3.19% | UGPA3.SA: 10.64% | WEGE3.SA: 10.64%,CDI: 100.00%,0.2602,0.7398,0.05430557259669966,-0.1270422140900277,-0.0002925940120802606,0.023330093992945944,0.030975478603753714,0.055899751781305795,0.06062262053402108,-1.2834702439540349,-1.1405914322855324,-0.05514769197645209,1.013637194557024,"{0: 3, 1: 1, 2: 0, 3: 2}"
1,2016-2016,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,AMER3.SA: 3.00% | ANIM3.SA: 10.00% | BBAS3.SA: 3.00% | BBSE3.SA: 3.00% | CMIG4.SA: 3.00% | COGN3.SA: 3.00% | CSMG3.SA: 3.78% | CSNA3.SA: 3.00% | CVCB3.SA: 7.09% | DIRR3.SA: 3.00% | HYPE3.SA: 10.00% | LIGT3.SA: 10.00% | MRVE3.SA: 3.00% | PETR3.SA: 3.00% | PETR4.SA: 3.13% | SANB11.SA: 3.00% | SBSP3.SA: 3.00% | SMTO3.SA: 10.00% | TOTS3.SA: 10.00% | YDUQ3.SA: 3.00%,ABEV3.SA: 3.00% | BHIA3.SA: 10.00% | BRKM5.SA: 3.00% | CMIG4.SA: 3.00% | CPLE3.SA: 3.00% | EGIE3.SA: 3.00% | EQTL3.SA: 10.00% | EZTC3.SA: 3.00% | FLRY3.SA: 6.63% | FRAS3.SA: 10.00% | KLBN11.SA: 3.06% | KLBN4.SA: 9.20% | POMO4.SA: 3.00% | POSI3.SA: 3.00% | RADL3.SA: 3.00% | TAEE11.SA: 10.00% | TOTS3.SA: 3.00% | UNIP6.SA: 5.11% | USIM5.SA: 3.00% | YDUQ3.SA: 3.00%,AGRO3.SA: 11.76% | AMER3.SA: 11.76% | AZZA3.SA: 9.41% | HYPE3.SA: 11.76% | ITSA4.SA: 3.53% | ITUB4.SA: 3.53% | KLBN4.SA: 3.53% | LREN3.SA: 3.53% | PSSA3.SA: 3.53% | RADL3.SA: 11.76% | RENT3.SA: 3.53% | SANB11.SA: 3.53% | SMTO3.SA: 3.53% | UGPA3.SA: 3.53% | WEGE3.SA: 11.76%,CDI: 100.00%,0.3073,0.6927,0.17810241586828712,0.3790542099192642,0.26392595982102196,0.2727591317787015,-0.09465671591041436,0.18122100241154038,0.06512974068554078,0.620681356305422,0.6541806517183782,-0.03409339657826148,5.315428223631139,"{0: 1, 1: 3, 2: 2, 3: 0}"
2,2017-2017,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,BBAS3.SA: 4.48% | CSMG3.SA: 14.93% | CSUD3.SA: 12.22% | FLRY3.SA: 14.93% | FRAS3.SA: 11.06% | POSI3.SA: 14.93% | RAIL3.SA: 4.48% | ROMI3.SA: 8.06% | UNIP6.SA: 14.93%,AGRO3.SA: 14.29% | ALOS3.SA: 14.29% | BRKM5.SA: 9.17% | CSMG3.SA: 6.54% | CSNA3.SA: 14.29% | PSSA3.SA: 4.29% | ROMI3.SA: 14.29% | SBSP3.SA: 14.29% | SMTO3.SA: 4.29% | TOTS3.SA: 4.29%,AGRO3.SA: 10.99% | BBDC3.SA: 3.30% | BBSE3.SA: 3.30% | BHIA3.SA: 7.57% | COGN3.SA: 10.10% | CSUD3.SA: 10.91% | EGIE3.SA: 3.30% | HYPE3.SA: 3.30% | ISAE4.SA: 10.00% | ITUB4.SA: 3.30% | MGLU3.SA: 6.97% | PCAR3.SA: 3.30% | RADL3.SA: 10.49% | SANB11.SA: 3.30% | TAEE11.SA: 3.30% | WEGE3.SA: 3.30% | YDUQ3.SA: 3.30%,CDI: 100.00%,0.4301,0.5699,0.32451376431675105,0.2685672538894508,0.18553986555752844,0.09462442484709666,0.2298893394696544,0.33362418597694843,0.10051755043919197,2.317788504933905,2.1742692183884356,-0.06758483994252963,4.936376060972309,"{0: 0, 1: 3, 2: 1, 3: 2}"
3,2018-2018,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,AGRO3.SA: 10.31% | ALOS3.SA: 3.09% | ANIM3.SA: 3.09% | BRKM5.SA: 3.09% | CMIG4.SA: 3.09% | COGN3.SA: 3.09% | CSMG3.SA: 10.31% | CSNA3.SA: 4.79% | CVCB3.SA: 3.09% | ENEV3.SA: 3.09% | FRAS3.SA: 10.31% | HYPE3.SA: 6.91% | LIGT3.SA: 3.09% | PETR3.SA: 3.09% | PETR4.SA: 3.09% | POMO4.SA: 4.95% | SANB11.SA: 3.09% | SMTO3.SA: 10.31% | TOTS3.SA: 8.10%,BHIA3.SA: 4.29% | BRAP4.SA: 4.29% | BRKM5.SA: 14.29% | CSUD3.SA: 4.29% | CVCB3.SA: 4.29% | FLRY3.SA: 14.29% | MGLU3.SA: 14.29% | PRIO3.SA: 11.43% | ROMI3.SA: 14.29% | UNIP6.SA: 14.29%,AGRO3.SA: 3.30% | AMER3.SA: 3.30% | BBDC3.SA: 3.30% | BBDC4.SA: 3.30% | BHIA3.SA: 6.21% | CSUD3.SA: 10.99% | CVCB3.SA: 3.30% | HYPE3.SA: 3.30% | ISAE4.SA: 10.16% | ITUB4.SA: 3.30% | LREN3.SA: 3.30% | MGLU3.SA: 10.99% | MRVE3.SA: 3.30% | PCAR3.SA: 10.99% | PRIO3.SA: 6.70% | RADL3.SA: 10.99% | WEGE3.SA: 3.30%,CDI: 100.00%,0.3575,0.6425,0.11094311791663136,0.11855710583492485,0.09667210839210671,0.1441490933563161,-0.03320597543968473,0.11478191732311593,0.09352291276684575,0.5342791594665488,0.6297468610672559,-0.04951015212643863,2.318351133924751,"{0: 0, 1: 1, 2: 2, 3: 3}"
4,2019-2019,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,ABCB4.SA: 3.00% | AGRO3.SA: 5.90% | ALOS3.SA: 3.00% | BRAP4.SA: 3.00% | BRKM5.SA: 10.00% | CSMG3.SA: 10.00% | CSNA3.SA: 3.00% | CVCB3.SA: 3.00% | ENEV3.SA: 9.33% | FLRY3.SA: 3.00% | GGBR4.SA: 3.00% | IRBR3.SA: 10.00% | KEPL3.SA: 5.76% | PETR3.SA: 3.00% | PETR4.SA: 3.00% | PRIO3.SA: 3.00% | ROMI3.SA: 3.00% | SMTO3.SA: 3.00% | UNIP6.SA: 10.00% | VALE3.SA: 3.00%,AMER3.SA: 4.90% | B3SA3.SA: 3.00% | BBAS3.SA: 3.00% | BBDC3.SA: 3.00% | BBDC4.SA: 3.00% | BHIA3.SA: 3.20% | BRAP4.SA: 3.00% | CMIG4.SA: 3.00% | CSUD3.SA: 10.00% | CYRE3.SA: 3.00% | ITSA4.SA: 3.00% | ITUB4.SA: 3.00% | LREN3.SA: 5.91% | MGLU3.SA: 10.00% | MRVE3.SA: 10.00% | PCAR3.SA: 10.00% | PRIO3.SA: 10.00% | RENT3.SA: 3.00% | SANB11.SA: 3.00% | YDUQ3.SA: 3.00%,AZZA3.SA: 3.19% | BHIA3.SA: 3.19% | BRAP4.SA: 3.19% | BRKM5.SA: 10.64% | CSUD3.SA: 3.19% | KLBN11.SA: 3.19% | KLBN4.SA: 7.98% | POSI3.SA: 3.19% | PRIO3.SA: 10.64% | PSSA3.SA: 10.64% | RADL3.SA: 3.19% | ROMI3.SA: 10.64% | SANB11.SA: 3.19% | SLCE3.SA: 3.19% | UNIP6.SA: 10.64% | USIM5.SA: 3.19% | VALE3.SA: 3.73% | WEGE3.SA: 3.19%,CDI: 100.00%,0.3974,0.6026,0.23026618641626584,0.325952643735707,0.18931384843541021,0.1688385074227834,0.06142767899348245,0.23543793226948795,0.07622953889580245,2.3081907705179594,2.557517563916916,-0.04575060650215702,5.146116090469483,"{0: 3, 1: 0, 2: 2, 3: 1}"
5,2020-2020,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,AMER3.SA: 3.93% | BBDC3.SA: 3.19% | BHIA3.SA: 3.43% | BRAP4.SA: 3.19% | CMIG4.SA: 3.19% | CSMG3.SA: 10.64% | CSNA3.SA: 3.19% | CSUD3.SA: 10.64% | CYRE3.SA: 3.19% | DIRR3.SA: 7.69% | EZTC3.SA: 3.19% | MGLU3.SA: 10.64% | MRVE3.SA: 3.19% | PETR4.SA: 3.19% | PRIO3.SA: 10.64% | RENT3.SA: 3.19% | ROMI3.SA: 10.47% | USIM5.SA: 3.19%,ABCB4.SA: 14.93% | ANIM3.SA: 7.89% | FLRY3.SA: 14.93% | HAPV3.SA: 6.83% | MGLU3.SA: 5.99% | PCAR3.SA: 14.93% | RADL3.SA: 14.93% | UNIP6.SA: 14.93% | YDUQ3.SA: 4.66%,AZZA3.SA: 3.00% | BPAC11.SA: 3.00% | BRAP4.SA: 3.00% | CPFE3.SA: 9.43% | CPLE3.SA: 3.00% | ENEV3.SA: 9.22% | EQTL3.SA: 3.00% | FLRY3.SA: 3.00% | GGBR4.SA: 3.00% | GOAU4.SA: 3.00% | HAPV3.SA: 9.34% | IRBR3.SA: 10.00% | ISAE4.SA: 3.00% | MGLU3.SA: 3.00% | POSI3.SA: 3.00% | PRIO3.SA: 10.00% | RAIL3.SA: 3.00% | ROMI3.SA: 3.00% | SMTO3.SA: 3.00% | UNIP6.SA: 10.00%,CDI: 100.00%,0.3289,0.6711,-0.02712051392191095,0.030276637577180576,0.05509134696563178,-0.10804270765993373,0.08092219373802279,-0.02766184873209454,0.20882262910998717,-0.2655705610376819,-0.20248645384064898,-0.2933353234155584,-0.09430111726744521,"{0: 2, 1: 0, 2: 3, 3: 1}"
6,2021-2021,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,B3SA3.SA: 3.00% | BPAC11.SA: 10.00% | BRAP4.SA: 8.69% | BRKM5.SA: 10.00% | CPLE3.SA: 4.03% | ECOR3.SA: 3.00% | EZTC3.SA: 3.00% | FLRY3.SA: 3.00% | GOAU4.SA: 3.00% | KLBN11.SA: 8.92% | KLBN4.SA: 3.00% | LIGT3.SA: 3.00% | MGLU3.SA: 4.23% | PCAR3.SA: 10.00% | POMO4.SA: 3.00% | PRIO3.SA: 3.00% | RAIL3.SA: 3.00% | SUZB3.SA: 4.84% | UNIP6.SA: 6.30% | YDUQ3.SA: 3.00%,AMER3.SA: 10.00% | B3SA3.SA: 3.00% | BHIA3.SA: 3.00% | BPAC11.SA: 3.00% | CSUD3.SA: 10.00% | CYRE3.SA: 3.00% | DIRR3.SA: 3.00% | EZTC3.SA: 3.00% | ITSA4.SA: 3.00% | MGLU3.SA: 10.00% | MOVI3.SA: 3.00% | OIBR3.SA: 5.03% | PCAR3.SA: 10.00% | PRIO3.SA: 5.97% | RENT3.SA: 3.00% | ROMI3.SA: 10.00% | SBSP3.SA: 3.00% | USIM5.SA: 3.00% | WEGE3.SA: 3.00% | YDUQ3.SA: 3.00%,BRAP4.SA: 14.29% | ENEV3.SA: 14.29% | HAPV3.SA: 4.29% | PRIO3.SA: 14.29% | PSSA3.SA: 4.29% | SLCE3.SA: 4.29% | SUZB3.SA: 14.29% | UNIP6.SA: 14.29% | VALE3.SA: 11.43% | VIVA3.SA: 4.29%,CDI: 100.00%,0.4665,0.5335,0.09345626640334115,-0.1273951016713326,-0.04074591421529583,-0.04410827346485402,0.13756453986819517,0.09584162742636271,0.1477220559796625,0.34985505633995767,0.39116132187436087,-0.14787114037860677,0.6481428842772933,"{0: 3, 1: 1, 2: 2, 3: 0}"
7,2022-2022,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,BHIA3.SA: 3.95% | CMIG4.SA: 3.95% | ENEV3.SA: 13.16% | GGPS3.SA: 13.16% | LJQQ3.SA: 13.16% | MOVI3.SA: 3.95% | POSI3.SA: 7.49% | PRIO3.SA: 13.16% | SMTO3.SA: 12.82% | TOTS3.SA: 3.95% | UNIP6.SA: 7.32% | VALE3.SA: 3.95%,AMER3.SA: 3.00% | B3SA3.SA: 3.00% | BPAC11.SA: 3.00% | BRAV3.SA: 10.00% | CSUD3.SA: 3.00% | DIRR3.SA: 10.00% | FRAS3.SA: 10.00% | ITSA4.SA: 3.00% | KEPL3.SA: 10.00% | MGLU3.SA: 3.00% | MOVI3.SA: 3.00% | PRIO3.SA: 6.78% | RENT3.SA: 3.00% | ROMI3.SA: 4.22% | SAPR11.SA: 3.00% | SBSP3.SA: 3.00% | TOTS3.SA: 3.00% | UGPA3.SA: 10.00% | USIM5.SA: 3.00% | WEGE3.SA: 3.00%,ABCB4.SA: 3.09% | AGRO3.SA: 3.09% | BPAC11.SA: 3.09% | BRKM5.SA: 8.25% | CMIG4.SA: 3.09% | ENEV3.SA: 3.09% | GGBR4.SA: 3.09% | GOAU4.SA: 3.09% | KLBN11.SA: 3.09% | KLBN4.SA: 3.09% | MRVE3.SA: 3.09% | PCAR3.SA: 10.31% | POSI3.SA: 10.31% | PRIO3.SA: 3.09% | ROMI3.SA: 3.09% | SLCE3.SA: 10.31% | SMTO3.SA: 3.09% | SUZB3.SA: 10.31% | UNIP6.SA: 10.31%,CDI: 100.00%,0.3961,0.6039,0.1252884917746926,0.05165900288107372,0.0927091817848138,0.09310286459225958,0.03218562718243301,0.12688997273693725,0.10325240330206077,0.024256410688363608,0.02378687730575381,-0.08245139358696495,1.5389669866901772,"{0: 0, 1: 3, 2: 2, 3: 1}"
8,2023-2023,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,AGRO3.SA: 3.00% | ASAI3.SA: 10.00% | AURA33.SA: 3.16% | B3SA3.SA: 3.00% | BBSE3.SA: 9.24% | BPAC11.SA: 3.00% | BRAV3.SA: 10.00% | CSMG3.SA: 3.00% | CURY3.SA: 3.00% | CXSE3.SA: 3.00% | MOVI3.SA: 3.00% | PCAR3.SA: 10.00% | PETR3.SA: 3.00% | PETR4.SA: 3.00% | POSI3.SA: 5.45% | PRIO3.SA: 3.00% | PSSA3.SA: 3.00% | RECV3.SA: 3.50% | SLCE3.SA: 5.65% | UNIP6.SA: 10.00%,BPAC11.SA: 3.09% | BRAP4.SA: 3.09% | CSUD3.SA: 3.09% | CURY3.SA: 3.09% | DIRR3.SA: 10.31% | EQTL3.SA: 3.09% | FRAS3.SA: 10.31% | HYPE3.SA: 3.09% | INTB3.SA: 8.25% | KEPL3.SA: 10.31% | LWSA3.SA: 3.09% | PRIO3.SA: 3.09% | RECV3.SA: 10.31% | ROMI3.SA: 3.09% | SAPR11.SA: 3.09% | SBSP3.SA: 3.09% | TOTS3.SA: 3.09% | UGPA3.SA: 3.09% | WEGE3.SA: 10.31%,ABCB4.SA: 3.00% | AGRO3.SA: 3.00% | BRAP4.SA: 10.00% | CPLE3.SA: 3.00% | CSNA3.SA: 3.00% | CSUD3.SA: 3.00% | ENEV3.SA: 3.00% | GGBR4.SA: 10.00% | GOAU4.SA: 3.63% | KLBN11.SA: 3.00% | KLBN4.SA: 3.00% | PCAR3.SA: 10.00% | POSI3.SA: 10.00% | PRIO3.SA: 4.77% | ROMI3.SA: 3.00% | SLCE3.SA: 5.61% | SMTO3.SA: 3.00% | UNIP6.SA: 10.00% | USIM5.SA: 3.00% | VALE3.SA: 3.00%,CDI: 100.00%,0.3934,0.6066,0.03883221678776816,0.21960174859811854,0.1778894260558712,0.1550336227861413,-0.11620140599837314,0.039633671801837966,0.09408165169941868,-0.9831293485622923,-0.9896879756807253,-0.08512084315151448,0.46561653214936227,"{0: 3, 1: 0, 2: 2, 3: 1}"
9,2024-2024,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,ABCB4.SA: 10.00% | ANIM3.SA: 3.00% | ASAI3.SA: 4.84% | BBAS3.SA: 3.16% | BBDC3.SA: 3.00% | BBDC4.SA: 3.00% | BPAC11.SA: 6.19% | COGN3.SA: 3.00% | CXSE3.SA: 3.00% | LJQQ3.SA: 3.00% | MGLU3.SA: 3.00% | MOVI3.SA: 3.00% | PETR4.SA: 9.22% | POSI3.SA: 10.00% | PSSA3.SA: 10.00% | SMFT3.SA: 3.00% | TOTS3.SA: 3.00% | UNIP6.SA: 7.91% | VBBR3.SA: 5.68% | VIVA3.SA: 3.00%,AGRO3.SA: 3.00% | BRAP4.SA: 3.00% | BRKM5.SA: 3.00% | CPLE3.SA: 3.00% | CSNA3.SA: 3.00% | CSUD3.SA: 4.61% | FRAS3.SA: 3.00% | GGBR4.SA: 3.00% | GOAU4.SA: 3.00% | KLBN11.SA: 10.00% | KLBN4.SA: 9.98% | LWSA3.SA: 3.00% | POSI3.SA: 3.00% | PRIO3.SA: 9.99% | SLCE3.SA: 3.00% | SMTO3.SA: 10.00% | SUZB3.SA: 10.00% | UNIP6.SA: 6.42% | USIM5.SA: 3.00% | YDUQ3.SA: 3.00%,ASAI3.SA: 4.69% | BRAV3.SA: 15.62% | CURY3.SA: 15.62% | DIRR3.SA: 4.69% | FRAS3.SA: 15.62% | HYPE3.SA: 12.50% | KEPL3.SA: 15.62% | RECV3.SA: 15.62%,CDI: 100.00%,0.3306,0.6694,0.06960153186953155,-0.10370756790997437,-0.0017126460103247254,0.06140317330417111,0.008198358565360442,0.07017744205981291,0.07650006916482306,-0.4970659504378934,-0.48695342861718255,-0.06602076605720598,1.0629601298325626,"{0: 3, 1: 0, 2: 2, 3: 1}"
