,Rodada_Teste,Anos_Treino_Inclusos,Politica_Regime_0,Politica_Regime_1,Politica_Regime_2,Politica_Regime_3,Composicao_Est_0,Composicao_Est_1,Composicao_Est_2,Composicao_Est_3,Exposicao_Media_Acoes,Carrego_Medio_CDI,Retorno_Teste_Modelo,Retorno_Teste_Ibov,Retorno_Teste_Bench_Hibrido,Retorno_Teste_Bench_Dinamico,Alpha_Rodada,CAGR,Volatilidade,Sharpe,Sortino,Max_Drawdown,Calmar,Mapa_Risco
0,2015-2015,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,ABCB4.SA: 3.00% | ABEV3.SA: 3.00% | ALOS3.SA: 4.31% | ANIM3.SA: 10.00% | AZZA3.SA: 3.00% | CMIG4.SA: 3.00% | CSMG3.SA: 3.00% | DIRR3.SA: 4.55% | EQTL3.SA: 8.13% | EZTC3.SA: 8.01% | FRAS3.SA: 10.00% | MGLU3.SA: 3.00% | PETR3.SA: 3.00% | PETR4.SA: 3.00% | SBSP3.SA: 3.00% | SLCE3.SA: 3.00% | SMTO3.SA: 7.44% | TAEE11.SA: 10.00% | UGPA3.SA: 3.00% | YDUQ3.SA: 4.57%,AGRO3.SA: 14.29% | AMER3.SA: 11.43% | AZZA3.SA: 4.29% | BBSE3.SA: 4.29% | KEPL3.SA: 14.29% | KLBN4.SA: 4.29% | PSSA3.SA: 4.29% | RADL3.SA: 14.29% | UGPA3.SA: 14.29% | WEGE3.SA: 14.29%,ABCB4.SA: 3.00% | AMER3.SA: 3.00% | ANIM3.SA: 3.00% | BBSE3.SA: 3.00% | BHIA3.SA: 10.00% | COGN3.SA: 3.99% | CPFE3.SA: 3.00% | CPLE3.SA: 10.00% | CYRE3.SA: 10.00% | EGIE3.SA: 10.00% | EZTC3.SA: 3.54% | FLRY3.SA: 9.80% | KLBN4.SA: 3.00% | LREN3.SA: 3.00% | MGLU3.SA: 3.00% | POMO4.SA: 3.00% | POSI3.SA: 3.00% | PRIO3.SA: 6.68% | TAEE11.SA: 3.00% | YDUQ3.SA: 3.00%,CDI: 100.00%,0.2198,0.7802,0.013922010000000595,-0.1270422140900277,-0.00041858232319391675,0.029922204072561076,-0.01600019407256048,0.014322616964700607,0.057022781714510855,-2.0884374826257757,-1.4940101373178836,-0.04961649296980152,0.28866645156516596,"{0: 3, 1: 2, 2: 0, 3: 1}"
1,2016-2016,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,ALOS3.SA: 6.94% | ANIM3.SA: 3.00% | BRKM5.SA: 3.00% | CMIG4.SA: 3.00% | CSNA3.SA: 3.00% | CVCB3.SA: 4.76% | EQTL3.SA: 5.21% | FRAS3.SA: 10.00% | HYPE3.SA: 3.00% | PETR3.SA: 3.00% | PETR4.SA: 3.00% | POMO4.SA: 3.00% | ROMI3.SA: 3.17% | SANB11.SA: 3.00% | SBSP3.SA: 10.00% | SMTO3.SA: 10.00% | TAEE11.SA: 10.00% | TOTS3.SA: 6.13% | UNIP6.SA: 3.78% | YDUQ3.SA: 3.00%,ABEV3.SA: 3.00% | AGRO3.SA: 10.00% | AMER3.SA: 10.00% | AZZA3.SA: 6.75% | BBDC3.SA: 3.00% | CSUD3.SA: 3.00% | EQTL3.SA: 3.00% | HYPE3.SA: 10.00% | ITSA4.SA: 3.00% | ITUB4.SA: 3.00% | KLBN11.SA: 3.00% | KLBN4.SA: 3.00% | LREN3.SA: 3.00% | PSSA3.SA: 3.00% | RADL3.SA: 10.00% | RENT3.SA: 3.00% | SANB11.SA: 3.00% | SMTO3.SA: 3.00% | UGPA3.SA: 4.25% | WEGE3.SA: 10.00%,ABCB4.SA: 3.30% | ABEV3.SA: 3.30% | AMER3.SA: 10.99% | ANIM3.SA: 3.30% | BBSE3.SA: 3.30% | BHIA3.SA: 10.99% | COGN3.SA: 3.30% | CPLE3.SA: 10.99% | CSNA3.SA: 3.30% | FLRY3.SA: 8.79% | GGBR4.SA: 10.99% | GOAU4.SA: 3.30% | KLBN4.SA: 3.30% | MGLU3.SA: 3.30% | PRIO3.SA: 10.99% | SBSP3.SA: 3.30% | USIM5.SA: 3.30%,CDI: 100.00%,0.2673,0.7327,0.15679787543139057,0.3790542099192642,0.26381920024451255,0.22530338142002249,-0.06850550598863192,0.1595187193253471,0.061489154149626815,0.30766521909492084,0.32482935187943673,-0.021796450271256134,7.3185641395796885,"{0: 2, 1: 1, 2: 3, 3: 0}"
2,2017-2017,4,Otima_Regime0,Otima_Regime1,100_CDI,100_CDI,ANIM3.SA: 12.20% | BRAP4.SA: 3.66% | CSMG3.SA: 12.20% | CSNA3.SA: 3.66% | CSUD3.SA: 5.29% | CVCB3.SA: 10.13% | GGBR4.SA: 3.66% | MGLU3.SA: 3.66% | PETR3.SA: 8.95% | PETR4.SA: 3.66% | POSI3.SA: 4.89% | ROMI3.SA: 12.20% | SBSP3.SA: 3.66% | UNIP6.SA: 12.20%,AGRO3.SA: 10.31% | BBDC3.SA: 3.09% | BHIA3.SA: 10.31% | COGN3.SA: 9.32% | CSUD3.SA: 9.57% | EGIE3.SA: 3.09% | EQTL3.SA: 3.09% | HYPE3.SA: 3.09% | ISAE4.SA: 10.31% | ITUB4.SA: 3.09% | LREN3.SA: 3.09% | MGLU3.SA: 6.59% | PCAR3.SA: 3.09% | RADL3.SA: 6.48% | SANB11.SA: 3.09% | TAEE11.SA: 3.09% | UGPA3.SA: 3.09% | WEGE3.SA: 3.09% | YDUQ3.SA: 3.09%,CDI: 100.00%,CDI: 100.00%,0.3965,0.6035,0.39245793057586087,0.2685672538894508,0.1854662267479894,0.15555692853749514,0.23690100203836573,0.40374739413072125,0.11552415447580573,2.6249224401616473,2.166246525077708,-0.06487139468699199,6.223812453529393,"{0: 0, 1: 3, 2: 2, 3: 1}"
3,2018-2018,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,ABCB4.SA: 3.00% | AMER3.SA: 3.00% | AZZA3.SA: 4.12% | BBAS3.SA: 3.00% | BRAP4.SA: 3.00% | CSUD3.SA: 7.00% | CVCB3.SA: 3.00% | ECOR3.SA: 3.00% | FLRY3.SA: 10.00% | GOAU4.SA: 3.00% | MGLU3.SA: 8.42% | PCAR3.SA: 10.00% | PETR3.SA: 3.00% | PETR4.SA: 3.00% | POSI3.SA: 3.00% | PRIO3.SA: 7.90% | RAIL3.SA: 3.27% | ROMI3.SA: 6.29% | UNIP6.SA: 10.00% | USIM5.SA: 3.00%,AGRO3.SA: 14.93% | ALOS3.SA: 8.87% | ANIM3.SA: 6.04% | BHIA3.SA: 14.93% | CPLE3.SA: 10.37% | CVCB3.SA: 7.09% | LREN3.SA: 7.93% | RADL3.SA: 14.93% | UNIP6.SA: 14.93%,AZZA3.SA: 10.00% | B3SA3.SA: 3.00% | BBAS3.SA: 3.00% | BBDC3.SA: 3.00% | BBDC4.SA: 3.00% | BHIA3.SA: 10.00% | CSMG3.SA: 5.49% | CSNA3.SA: 3.00% | CYRE3.SA: 3.00% | EQTL3.SA: 3.00% | HYPE3.SA: 10.00% | ITSA4.SA: 3.00% | ITUB4.SA: 3.00% | MRVE3.SA: 3.36% | MULT3.SA: 3.00% | POMO4.SA: 10.00% | RADL3.SA: 10.00% | RENT3.SA: 3.00% | SBSP3.SA: 5.15% | SMTO3.SA: 3.00%,CDI: 100.00%,0.2723,0.7277,0.07929109241992305,0.11855710583492485,0.09663458478901399,0.07255159174861547,0.0067395006713075745,0.08199462665288282,0.0835876927179955,0.20643476511633346,0.23756466162925557,-0.04774084203949464,1.7174943538920195,"{0: 3, 1: 0, 2: 2, 3: 1}"
4,2019-2019,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,ALOS3.SA: 5.01% | AZZA3.SA: 3.79% | BRAP4.SA: 3.00% | BRKM5.SA: 10.00% | CSMG3.SA: 5.32% | CSNA3.SA: 3.00% | CVCB3.SA: 3.00% | ENEV3.SA: 6.29% | FLRY3.SA: 10.00% | GGBR4.SA: 3.00% | GOAU4.SA: 3.00% | MGLU3.SA: 7.44% | PETR3.SA: 3.00% | PETR4.SA: 3.00% | PRIO3.SA: 4.60% | RAIL3.SA: 3.00% | ROMI3.SA: 7.55% | UNIP6.SA: 10.00% | USIM5.SA: 3.00% | VALE3.SA: 3.00%,AMER3.SA: 6.11% | B3SA3.SA: 3.00% | BBAS3.SA: 3.00% | BBDC3.SA: 3.00% | BBDC4.SA: 3.00% | BHIA3.SA: 3.85% | BRAP4.SA: 3.00% | CMIG4.SA: 3.00% | CSUD3.SA: 10.00% | CYRE3.SA: 3.00% | ITSA4.SA: 3.00% | ITUB4.SA: 3.00% | LREN3.SA: 4.03% | MGLU3.SA: 10.00% | MRVE3.SA: 10.00% | PCAR3.SA: 10.00% | PRIO3.SA: 10.00% | RENT3.SA: 3.00% | SANB11.SA: 3.00% | YDUQ3.SA: 3.00%,BHIA3.SA: 10.99% | CSUD3.SA: 3.30% | CVCB3.SA: 10.99% | ENEV3.SA: 3.30% | EQTL3.SA: 3.30% | FRAS3.SA: 3.30% | IRBR3.SA: 4.65% | KLBN4.SA: 3.30% | LREN3.SA: 3.30% | MOVI3.SA: 10.99% | MULT3.SA: 3.30% | POMO4.SA: 3.30% | POSI3.SA: 7.44% | RADL3.SA: 3.30% | SANB11.SA: 3.30% | SAPR11.SA: 10.99% | UNIP6.SA: 10.99%,CDI: 100.00%,0.3709,0.6291,0.24774142509754293,0.325952643735707,0.18931384843541021,0.15258076660330344,0.09516065849423949,0.25334443172449284,0.08290142656313115,2.338425592679923,2.256067136920882,-0.0549308140550888,4.612064031500057,"{0: 2, 1: 1, 2: 0, 3: 3}"
5,2020-2020,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,AMER3.SA: 3.00% | BBAS3.SA: 3.00% | CMIG4.SA: 7.29% | CPLE3.SA: 3.00% | CSMG3.SA: 3.00% | CSUD3.SA: 3.00% | CYRE3.SA: 3.00% | EZTC3.SA: 3.00% | GOAU4.SA: 3.00% | KEPL3.SA: 10.00% | MGLU3.SA: 3.00% | MOVI3.SA: 3.71% | OIBR3.SA: 10.00% | PCAR3.SA: 10.00% | POSI3.SA: 3.00% | PRIO3.SA: 10.00% | RAIL3.SA: 3.00% | ROMI3.SA: 3.00% | UNIP6.SA: 10.00% | USIM5.SA: 3.00%,BHIA3.SA: 9.19% | BPAC11.SA: 10.00% | BRAP4.SA: 3.00% | CPLE3.SA: 3.00% | CSMG3.SA: 3.00% | CYRE3.SA: 3.00% | DIRR3.SA: 3.00% | ENEV3.SA: 8.04% | EQTL3.SA: 3.00% | FLRY3.SA: 10.00% | MGLU3.SA: 10.00% | MRVE3.SA: 3.00% | PETR4.SA: 3.00% | POSI3.SA: 3.00% | PRIO3.SA: 3.32% | RENT3.SA: 3.00% | ROMI3.SA: 3.44% | SBSP3.SA: 3.00% | UNIP6.SA: 10.00% | YDUQ3.SA: 3.00%,ABCB4.SA: 7.15% | B3SA3.SA: 3.00% | BRAP4.SA: 3.00% | CVCB3.SA: 3.00% | CYRE3.SA: 3.00% | ECOR3.SA: 3.00% | EZTC3.SA: 3.00% | FLRY3.SA: 3.00% | HAPV3.SA: 10.00% | HYPE3.SA: 4.45% | MGLU3.SA: 10.00% | PCAR3.SA: 10.00% | POMO4.SA: 3.00% | PRIO3.SA: 9.41% | RADL3.SA: 3.00% | RAIL3.SA: 3.00% | RENT3.SA: 3.00% | SANB11.SA: 3.00% | SLCE3.SA: 3.00% | TOTS3.SA: 10.00%,CDI: 100.00%,0.4392,0.5608,0.4050884124103049,0.030276637577180576,0.05509134696563178,0.16338360864006551,0.2417048037702394,0.4147952879242578,0.18315882347512602,2.112920274137463,1.8488295843402593,-0.21733198580236904,1.9085791094802407,"{0: 0, 1: 3, 2: 1, 3: 2}"
6,2021-2021,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,AMER3.SA: 6.08% | ANIM3.SA: 3.00% | BHIA3.SA: 3.00% | BPAC11.SA: 10.00% | CSUD3.SA: 3.56% | CVCB3.SA: 3.00% | CYRE3.SA: 3.00% | DIRR3.SA: 3.00% | EZTC3.SA: 3.00% | MGLU3.SA: 6.12% | MOVI3.SA: 3.00% | OIBR3.SA: 8.24% | PCAR3.SA: 10.00% | POSI3.SA: 3.00% | PRIO3.SA: 10.00% | RENT3.SA: 3.00% | ROMI3.SA: 3.00% | SBSP3.SA: 3.00% | UNIP6.SA: 10.00% | YDUQ3.SA: 3.00%,BRAP4.SA: 14.93% | ENEV3.SA: 14.93% | KLBN11.SA: 6.95% | PRIO3.SA: 14.93% | SMTO3.SA: 4.48% | SUZB3.SA: 14.93% | TOTS3.SA: 8.72% | UNIP6.SA: 14.93% | VALE3.SA: 5.23%,AGRO3.SA: 10.31% | AMER3.SA: 10.31% | AZZA3.SA: 3.09% | B3SA3.SA: 3.09% | BPAC11.SA: 3.09% | ECOR3.SA: 8.25% | ENEV3.SA: 3.09% | HAPV3.SA: 3.09% | IRBR3.SA: 3.09% | KEPL3.SA: 10.31% | LWSA3.SA: 10.31% | MGLU3.SA: 10.31% | PETR3.SA: 3.09% | PETR4.SA: 3.09% | RAIL3.SA: 3.09% | RENT3.SA: 3.09% | UGPA3.SA: 3.09% | UNIP6.SA: 3.09% | YDUQ3.SA: 3.09%,CDI: 100.00%,0.4387,0.5613,0.11861993242542224,-0.1273951016713326,-0.04074591421529583,0.044315481093089026,0.07430445133233321,0.12168247095848073,0.12022958689503042,0.644784311887312,0.6258044644134838,-0.09868176647727425,1.233079577943139,"{0: 0, 1: 2, 2: 3, 3: 1}"
7,2022-2022,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,BPAC11.SA: 14.93% | CPLE3.SA: 14.93% | DIRR3.SA: 4.48% | ENEV3.SA: 4.48% | FRAS3.SA: 11.01% | PRIO3.SA: 14.93% | ROMI3.SA: 6.64% | TOTS3.SA: 14.86% | WEGE3.SA: 13.76%,ABCB4.SA: 3.00% | AGRO3.SA: 3.00% | BRAP4.SA: 3.00% | BRKM5.SA: 10.00% | CMIG4.SA: 10.00% | CSNA3.SA: 3.00% | FRAS3.SA: 3.00% | GGBR4.SA: 3.00% | GOAU4.SA: 3.00% | PETR3.SA: 3.00% | PETR4.SA: 3.00% | POMO4.SA: 3.00% | POSI3.SA: 9.03% | PRIO3.SA: 3.00% | ROMI3.SA: 3.00% | SLCE3.SA: 10.00% | SMTO3.SA: 3.00% | UGPA3.SA: 8.97% | UNIP6.SA: 10.00% | USIM5.SA: 3.00%,B3SA3.SA: 3.00% | BHIA3.SA: 3.00% | BPAC11.SA: 10.00% | CPLE3.SA: 3.00% | CYRE3.SA: 3.00% | DIRR3.SA: 3.00% | ENEV3.SA: 10.00% | EZTC3.SA: 3.00% | HAPV3.SA: 3.00% | LIGT3.SA: 3.00% | LWSA3.SA: 10.00% | MGLU3.SA: 4.38% | MOVI3.SA: 3.00% | POSI3.SA: 4.63% | PRIO3.SA: 4.99% | RENT3.SA: 3.00% | TOTS3.SA: 10.00% | UNIP6.SA: 3.00% | VIVA3.SA: 3.00% | WEGE3.SA: 10.00%,CDI: 100.00%,0.5521,0.4479,0.17268137313224785,0.05165900288107372,0.0927091817848138,0.09210492755106103,0.08057644558118682,0.1749341343625861,0.15013740175898094,0.33668288794170487,0.3525954481654934,-0.1206782726785104,1.449590970104573,"{0: 3, 1: 1, 2: 0, 3: 2}"
8,2023-2023,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,ABCB4.SA: 3.00% | AGRO3.SA: 7.27% | B3SA3.SA: 3.00% | BPAC11.SA: 4.97% | BRAP4.SA: 3.00% | CPLE3.SA: 4.10% | CSUD3.SA: 3.00% | ENEV3.SA: 6.51% | GGBR4.SA: 3.00% | GOAU4.SA: 3.00% | KLBN11.SA: 5.95% | KLBN4.SA: 3.00% | PCAR3.SA: 10.00% | POSI3.SA: 3.00% | PRIO3.SA: 10.00% | SLCE3.SA: 8.21% | SMTO3.SA: 3.00% | TOTS3.SA: 3.00% | UNIP6.SA: 10.00% | USIM5.SA: 3.00%,BPAC11.SA: 3.19% | BRAP4.SA: 3.19% | BRAV3.SA: 3.19% | CSUD3.SA: 3.19% | CYRE3.SA: 3.19% | DIRR3.SA: 10.64% | EQTL3.SA: 3.19% | FRAS3.SA: 10.64% | HYPE3.SA: 3.19% | KEPL3.SA: 10.64% | LWSA3.SA: 3.19% | PRIO3.SA: 8.51% | RECV3.SA: 10.64% | SAPR11.SA: 3.19% | SBSP3.SA: 3.19% | TOTS3.SA: 3.19% | UGPA3.SA: 3.19% | WEGE3.SA: 10.64%,ABCB4.SA: 3.00% | ABEV3.SA: 10.00% | AGRO3.SA: 3.00% | BBSE3.SA: 3.00% | BRKM5.SA: 3.00% | CMIG4.SA: 3.00% | CPFE3.SA: 3.00% | CPLE3.SA: 3.00% | GGBR4.SA: 3.00% | GOAU4.SA: 7.05% | MULT3.SA: 3.00% | PETR3.SA: 3.00% | PETR4.SA: 3.00% | POSI3.SA: 10.00% | PRIO3.SA: 10.00% | PSSA3.SA: 3.95% | SLCE3.SA: 3.00% | SMTO3.SA: 3.00% | TAEE11.SA: 10.00% | UNIP6.SA: 10.00%,CDI: 100.00%,0.3535,0.6465,0.13530225762717718,0.21960174859811854,0.1778894260558712,0.14826019481360264,-0.012957937186425461,0.13822237570323237,0.08302148641437773,0.07340593575411762,0.07150631329669441,-0.06348462884179472,2.1772573648919957,"{0: 1, 1: 0, 2: 2, 3: 3}"
9,2024-2024,4,Otima_Regime0,Otima_Regime1,Otima_Regime2,100_CDI,ABCB4.SA: 3.19% | AGRO3.SA: 10.64% | BRAP4.SA: 10.64% | BRKM5.SA: 3.19% | CMIG4.SA: 3.19% | CSNA3.SA: 3.19% | GGBR4.SA: 3.19% | GOAU4.SA: 3.19% | KLBN11.SA: 9.48% | KLBN4.SA: 3.19% | PETR3.SA: 3.19% | POSI3.SA: 3.19% | PRIO3.SA: 3.19% | SLCE3.SA: 9.67% | SMTO3.SA: 10.64% | UGPA3.SA: 3.19% | UNIP6.SA: 10.64% | USIM5.SA: 3.19%,B3SA3.SA: 3.00% | BPAC11.SA: 3.00% | CMIN3.SA: 3.00% | COGN3.SA: 3.00% | CSMG3.SA: 10.00% | CURY3.SA: 6.04% | CYRE3.SA: 3.00% | DIRR3.SA: 3.00% | GGPS3.SA: 3.00% | ISAE4.SA: 3.00% | KEPL3.SA: 10.00% | LIGT3.SA: 3.00% | LJQQ3.SA: 3.00% | MDNE3.SA: 10.00% | MGLU3.SA: 3.00% | MOVI3.SA: 3.00% | POMO4.SA: 10.00% | ROMI3.SA: 3.00% | SOJA3.SA: 10.00% | UNIP6.SA: 4.96%,AZZA3.SA: 3.19% | BPAC11.SA: 3.19% | BRAV3.SA: 5.83% | CURY3.SA: 10.64% | CYRE3.SA: 3.19% | DIRR3.SA: 10.64% | EQTL3.SA: 3.19% | FRAS3.SA: 10.64% | HYPE3.SA: 5.87% | KEPL3.SA: 10.64% | LWSA3.SA: 3.19% | MDNE3.SA: 3.19% | PRIO3.SA: 3.19% | RECV3.SA: 3.19% | SBSP3.SA: 3.19% | TOTS3.SA: 3.19% | UGPA3.SA: 3.19% | WEGE3.SA: 10.64%,CDI: 100.00%,0.4077,0.5923,0.10758448509554652,-0.10370756790997437,-0.0017126460103247254,0.01889131044947523,0.0886931746460713,0.10849025244851451,0.07993743015787068,0.003593189066721861,0.0036397530118328775,-0.04927461354437569,2.2017474038798994,"{0: 3, 1: 0, 2: 1, 3: 2}"
